MonitoringLocationIdentifier,lat,lon
21OHIO_WQX-203960,39.2056,-82.31
21OHIO_WQX-R06A21,41.0072,-81.7636
21OHIO_WQX-R11W04,40.2117,-81.8781
21OHIO_WQX-A01K09,41.8516,-80.7272
21OHIO_WQX-303715,40.522611,-81.300722
21OHIO_WQX-301202,40.190575,-83.078489
21OHIO_WQX-502400,41.63,-81.4003
21OHIO_WQX-B01K52,41.4583,-82.1161
21OHIO_WQX-303283,41.574284,-81.494795
21OHIO_WQX-303758,38.965647,-83.257942
21OHIO_WQX-W03P40,39.1122,-82.525
21OHIO_WQX-303706,40.4774,-81.1073
21OHIO_WQX-303554,38.707908,-82.546111
21OHIO_WQX-611810,40.9464,-81.7431
21OHIO_WQX-502120,41.4467,-81.6883
21OHIO_WQX-301203,40.191917,-83.078792
21OHIO_WQX-303559,38.754765,-82.524636
21OHIO_WQX-500110,41.0208,-84.2889
21OHIO_WQX-303704,38.584806,-82.294895
21OHIO_WQX-U02G03,40.841717,-82.818239
21OHIO_WQX-303587,38.615917,-82.214421
21OHIO_WQX-303536,38.651824,-82.465795
21OHIO_WQX-300593,38.953121,-82.126126
21OHIO_WQX-609390,39.6311,-81.0528
21OHIO_WQX-X99Q04,38.871583,-83.7683
21OHIO_WQX-F01S38,41.3881,-81.5606
21OHIO_WQX-303577,38.9719,-82.5403
21OHIO_WQX-K01W01,41.2908,-82.6375
21OHIO_WQX-W03P15,38.9519,-82.3689
21OHIO_WQX-K01W23,41.2344,-82.5664
21OHIO_WQX-X03W07,38.8658,-83.76
21OHIO_WQX-600570,39.7483,-83.9314
21OHIO_WQX-200744,38.7086,-83.135
21OHIO_WQX-303668,38.64491,-82.287667
21OHIO_WQX-502220,41.3844,-81.5275
21OHIO_WQX-R14P23,40.1462,-82.697
21OHIO_WQX-R08P07,40.6008,-81.3483
21OHIO_WQX-303688,39.221375,-82.516245
21OHIO_WQX-302966,38.911198,-83.858616
21OHIO_WQX-502020,41.394637,-81.629271
21OHIO_WQX-R08S12,40.475,-81.2183
21OHIO_WQX-303643,38.603102,-82.270155
21OHIO_WQX-R14P11,39.9625,-82.58
