OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-K01W01:20160711:0956:SR,Sample-Routine,Water,Surface Water,2016-07-11,09:56:00,EDT,,,,,,,,,,,,1790,Huron River Basin 2016 TMDL,,21OHIO_WQX-K01W01,HURON R. @ DAM DST. EAST/WEST BRANCHES,190159,,,,41.2908000000,-82.6375000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864805809,Below Reporting Limit,as N,Nitrate + Nitrite,Unfiltered,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-K01W01%3A20160711%3A0956%3ASR/results/864805809/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:45:55,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-K01G31:20160406:1004:SR,Sample-Routine,Water,Surface Water,2016-04-06,10:04:00,EDT,,,,,,,,,,,,1385,Monthly Ambient Stations,,21OHIO_WQX-K01G31,OLD WOMAN CREEK @ BERLIN RD.,186283,,,,41.3485000000,-82.5139000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864803744,,as N,Nitrate + Nitrite,Unfiltered,2.93,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-K01G31%3A20160406%3A1004%3ASR/results/864803744/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:45:48,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-K01G09:20160616:1015:SR,Sample-Routine,Water,Surface Water,2016-06-16,10:15:00,EDT,,,,,,,,,,,,1790,Huron River Basin 2016 TMDL,,21OHIO_WQX-K01G09,SHILOH DITCH (48.05) @ PLYMOUTH EAST RD.,188490,,,,41.0096000000,-82.5761000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864803093,,as N,Nitrate + Nitrite,Unfiltered,2.21,mg/L,,Final,,Actual,,,,,,,,,,Blind duplicate collected with churn splitter. Cadmium result rejected due to poor correlation with blind duplicate. TKN result rejected due to poor correlation with blind duplicate.,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-K01G09%3A20160616%3A1015%3ASR/results/864803093/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:45:46,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-601400:20160121:1050:SR,Sample-Routine,Water,Surface Water,2016-01-21,10:50:00,EST,,,,,,,,,,,,1786,Raccoon Creek Basin 2016 TMDL,,21OHIO_WQX-601400,RACCOON CREEK AT ADAMSVILLE @ U.S. RT. 35,185125,,,,38.8736000000,-82.3561000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864798847,,as N,Nitrate + Nitrite,Unfiltered,0.41,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-601400%3A20160121%3A1050%3ASR/results/864798847/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:45:31,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303467:20160920:1045:SR,Sample-Routine,Water,Surface Water,2016-09-20,10:45:00,EDT,,,,,,,,,,,,1663,Lake Erie Nearshore Water Quality Monitoring,,21OHIO_WQX-303467,Lake Erie @ City of Vermilion WTP Intake,195093,,,,41.4283330000,-82.3650330000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864834879,Below Reporting Limit,as N,Nitrate + Nitrite,Unfiltered,,,,Final,,Actual,,,,,,,,,,Depth Composite,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303467%3A20160920%3A1045%3ASR/results/864834879/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:22:46,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-K01P03:20160517:0950:SR,Sample-Routine,Water,Surface Water,2016-05-17,09:50:00,EDT,,,,,,,,,,,,1790,Huron River Basin 2016 TMDL,,21OHIO_WQX-K01P03,NORWALK CREEK AT NORWALK @ ST. RT. 61,187352,,,,41.2286000000,-82.6431000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864804369,,as N,Nitrate + Nitrite,Unfiltered,1.27,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-K01P03%3A20160517%3A0950%3ASR/results/864804369/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:45:50,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-W03P43:20160622:1122:SR,Sample-Routine,Water,Surface Water,2016-06-22,11:22:00,EDT,,,,,,,,,,,,1786,Raccoon Creek Basin 2016 TMDL,,21OHIO_WQX-W03P43,DICKASON RUN NEAR KEYSTONE @ ORPHEUS-KEYSTONE RD.,189112,,,,39.0086000000,-82.4553000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864817646,,as N,Nitrate + Nitrite,Unfiltered,0.52,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-W03P43%3A20160622%3A1122%3ASR/results/864817646/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:46:34,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-611790:20160906:1530:SR,Sample-Routine,Water,Surface Water,2016-09-06,15:30:00,EDT,,,,,,,,,,,,1385,Monthly Ambient Stations,,21OHIO_WQX-611790,TUSCARAWAS R. AT NEWCOMERSTOWN @ RIVER ST.,194026,,,,40.2611000000,-81.6097000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864852738,,as N,Nitrate + Nitrite,Unfiltered,1.87,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-611790%3A20160906%3A1530%3ASR/results/864852738/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:23:40,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-601340:20160330:1145:SR,Sample-Routine,Water,Surface Water,2016-03-30,11:45:00,EDT,,,,,,,,,,,,1385,Monthly Ambient Stations,,21OHIO_WQX-601340,SCIOTO R. UPST. CIRCLEVILLE @ COMMERCIAL POINT RD.,186176,,,,39.6328000000,-82.9625000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864798715,,as N,Nitrate + Nitrite,Unfiltered,3.15,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-601340%3A20160330%3A1145%3ASR/results/864798715/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:45:31,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303569:20161013:1326:SR,Sample-Routine,Water,Surface Water,2016-10-13,13:26:00,EDT,,,,,,,,,,,,1789,Symmes Creek Basin 2016 TMDL,,21OHIO_WQX-303569,SAND FORK @ PALESTINE-OKEY CHURCH RD. (TWP. 217),196485,,,,38.6512150000,-82.3779960000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864839849,,as N,Nitrate + Nitrite,Unfiltered,0.1,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303569%3A20161013%3A1326%3ASR/results/864839849/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:23:00,STORET
