,site_no,dateTime,water discharge,nitrite+nitrate,latitude,longitude,altitude
0,4175748,2021-04-20,6.18,1.87,41.8579611,-84.1596944,798.79
1,4175748,2021-04-20,6.18,1.87,41.8579611,-84.1596944,798.79
2,4175748,2021-04-21,7.22,1.86,41.8579611,-84.1596944,798.79
3,4175748,2021-04-21,7.22,1.86,41.8579611,-84.1596944,798.79
4,4175748,2021-04-22,8.71,1.84,41.8579611,-84.1596944,798.79
5,4175748,2021-04-22,8.71,1.84,41.8579611,-84.1596944,798.79
6,4175748,2021-04-23,7.19,1.83,41.8579611,-84.1596944,798.79
7,4175748,2021-04-23,7.19,1.83,41.8579611,-84.1596944,798.79
8,4175748,2021-04-24,6.92,1.82,41.8579611,-84.1596944,798.79
9,4175748,2021-04-24,6.92,1.82,41.8579611,-84.1596944,798.79
10,4175748,2021-04-25,6.58,1.8,41.8579611,-84.1596944,798.79
11,4175748,2021-04-25,6.58,1.8,41.8579611,-84.1596944,798.79
12,4175748,2021-04-26,5.35,1.79,41.8579611,-84.1596944,798.79
13,4175748,2021-04-26,5.35,1.79,41.8579611,-84.1596944,798.79
14,4175748,2021-04-27,5.24,1.77,41.8579611,-84.1596944,798.79
15,4175748,2021-04-27,5.24,1.77,41.8579611,-84.1596944,798.79
16,4175748,2021-04-28,4.44,1.76,41.8579611,-84.1596944,798.79
17,4175748,2021-04-28,4.44,1.76,41.8579611,-84.1596944,798.79
18,4175748,2021-04-29,5.94,1.74,41.8579611,-84.1596944,798.79
19,4175748,2021-04-29,5.94,1.74,41.8579611,-84.1596944,798.79
20,4175748,2021-04-30,7.3,1.73,41.8579611,-84.1596944,798.79
21,4175748,2021-04-30,7.3,1.73,41.8579611,-84.1596944,798.79
22,4175748,2021-05-01,5.5,1.72,41.8579611,-84.1596944,798.79
23,4175748,2021-05-01,5.5,1.72,41.8579611,-84.1596944,798.79
24,4175748,2021-05-02,4.78,1.7,41.8579611,-84.1596944,798.79
25,4175748,2021-05-02,4.78,1.7,41.8579611,-84.1596944,798.79
26,4175748,2021-05-03,5.1,1.69,41.8579611,-84.1596944,798.79
27,4175748,2021-05-03,5.1,1.69,41.8579611,-84.1596944,798.79
28,4175748,2021-05-04,6.53,1.67,41.8579611,-84.1596944,798.79
29,4175748,2021-05-04,6.53,1.67,41.8579611,-84.1596944,798.79
30,4175748,2021-05-05,5.52,1.66,41.8579611,-84.1596944,798.79
31,4175748,2021-05-05,5.52,1.66,41.8579611,-84.1596944,798.79
32,4175748,2021-05-06,5.24,1.64,41.8579611,-84.1596944,798.79
33,4175748,2021-05-06,5.24,1.64,41.8579611,-84.1596944,798.79
34,4175748,2021-05-07,5.67,1.63,41.8579611,-84.1596944,798.79
35,4175748,2021-05-07,5.67,1.63,41.8579611,-84.1596944,798.79
36,4175748,2021-05-08,5.16,1.61,41.8579611,-84.1596944,798.79
37,4175748,2021-05-08,5.16,1.61,41.8579611,-84.1596944,798.79
38,4175748,2021-05-09,10.2,1.75,41.8579611,-84.1596944,798.79
39,4175748,2021-05-09,10.2,1.75,41.8579611,-84.1596944,798.79
40,4175748,2021-05-10,20.3,3.7,41.8579611,-84.1596944,798.79
41,4175748,2021-05-10,20.3,3.7,41.8579611,-84.1596944,798.79
42,4175748,2021-05-11,10.3,1.81,41.8579611,-84.1596944,798.79
43,4175748,2021-05-11,10.3,1.81,41.8579611,-84.1596944,798.79
44,4175748,2021-05-12,7.14,1.41,41.8579611,-84.1596944,798.79
45,4175748,2021-05-12,7.14,1.41,41.8579611,-84.1596944,798.79
46,4175748,2021-05-13,5.7,1.37,41.8579611,-84.1596944,798.79
47,4175748,2021-05-13,5.7,1.37,41.8579611,-84.1596944,798.79
48,4175748,2021-05-14,4.81,1.33,41.8579611,-84.1596944,798.79
49,4175748,2021-05-14,4.81,1.33,41.8579611,-84.1596944,798.79
50,4175748,2021-05-15,4.14,1.3,41.8579611,-84.1596944,798.79
51,4175748,2021-05-15,4.14,1.3,41.8579611,-84.1596944,798.79
52,4175748,2021-05-16,3.68,1.26,41.8579611,-84.1596944,798.79
